3+6i+2j+9k;Let me tell you somet
2+5i+3j+9k;hing you already know
1+7i+9j+4k;. The world ain’t all
6+3i+5j+2k; sunshine and rainbow
7+6i+10j+10k;s. It’s a very mean a
4+2i+6j+10k;nd nasty place, and I
8+1i+2j+8k; don’t care how tough
1+6i+8j+10k;" you are; it will bea"
10+2i+1j+8k;t you to your knees a
5+4i+4j+5k;nd keep you there per
3+5i+6j+7k;manently if you let i
7+1i+7j+6k;t. You, me, or nobody
8+6i+1j+8k; will be hit as hard 
1+3i+6j+2k;as life, but it aint 
8+5i+4j+10k;about how hard you hi
9+10i+6j+8k;t, it’s about how har
10+4i+10j+5k;d you can get hit and
4+6i+4j+6k; keep moving forward.
1+9i+4j+9k; How much you can tak
7+9i+4j+2k;e? Now if you know wh
1+8i+10j+2k;at you’re worth, then
6+5i+4j+2k; go out and get what 
10+2i+10j+6k;you’re worth. But you
6+9i+10j+5k; gotta be willing to 
4+4i+2j+5k;take the hits. And no
9+3i+8j+4k;t pointing fingers sa
1+6i+9j+10k;ying you ain’t where 
1+7i+7j+2k;you wanna be because 
3+9i+5j+5k;of him, or her, or an
6+3i+6j+3k;ybody. Cowards do tha
8+2i+5j+9k;t, and that ain’t you
10+9i+10j+9k;! You’re better than 
4+8i+7j+6k;that!
